route_id,route_short_name,direction_id,stop_sequence,stop_id,stop_lat,stop_lon,dist_traveled,stop_point
60-150-b12-1,150,0,11,8220DB001440,53.33199006,-6.2833146520000005,3510.9152606982298,POINT (714342.0000095656 732679.0000689487)
60-150-b12-1,150,0,12,8220DB001386,53.32955262,-6.284448499,3794.1428219973704,POINT (714272.9999970694 732406.0001525246)
60-150-b12-1,150,0,13,8220DB001387,53.32804055,-6.286806239,4022.73623484855,POINT (714120.000009834 732234.0000703849)
60-150-b12-1,150,0,14,8220DB001388,53.32677327,-6.291195789,4352.5391205736205,POINT (713830.9999847328 732085.9997604227)
60-150-b12-1,150,0,15,8220DB001389,53.32608822,-6.295456775,4646.94869922214,POINT (713549.0000167144 732002.9995701695)
60-150-b12-1,150,0,16,8220DB003355,53.32548236,-6.297717802,4810.5265625724,POINT (713399.9999748091 731932.0003243587)
60-150-b12-1,150,0,17,8220DB003356,53.32485163,-6.300760394,5030.98612293623,POINT (713198.9999709828 731856.9998198465)
60-150-b12-1,150,0,18,8220DB001441,53.3248749,-6.303026332999999,5182.264365125229,POINT (713048.0000173989 731855.9998899613)
60-150-b12-1,150,0,19,8220DB001442,53.32516687,-6.307128155,5457.31345165344,POINT (712773.999995874 731881.9995294698)
60-150-b12-1,150,0,20,8220DB007414,53.32515908,-6.311016682999999,5718.16531522095,POINT (712515.0000045542 731875.0000380725)
60-150-b12-1,150,0,21,8220DB001396,53.32490027,-6.314960137000001,5981.79284338956,POINT (712253.0000105412 731840.0001962095)
60-150-b12-1,150,0,22,8220DB002317,53.32341857,-6.318876559,6334.51778539581,POINT (711996.0000124644 731669.0001433823)
60-150-b12-1,150,0,23,8220DB002318,53.32198001,-6.3188430460000005,6541.83185439031,POINT (712001.9999567198 731509.0005026313)
60-150-b12-1,150,0,24,8220DB002319,53.31956475,-6.315200389,6907.31062497735,POINT (712250.9999623739 731246.0004324551)
60-150-b12-1,150,0,25,8220DB002320,53.31588722,-6.317011266000001,7354.169181182479,POINT (712139.9999778426 730833.9996634666)
60-150-b12-1,150,0,26,8220DB002321,53.31340484,-6.3200805739999995,7701.038839575759,POINT (711941.9999786274 730552.9997098665)
60-150-b12-1,150,0,27,8220DB002322,53.31023749,-6.32110538,8072.595919429109,POINT (711882.0000096763 730198.9997635934)
60-150-b12-1,150,0,28,8220DB006163,53.30954009,-6.320727561,8153.249499634829,POINT (711909.0000064764 730121.9999320303)
60-150-b12-1,150,0,29,8230DB001095,53.30691417,-6.319990288,8483.32580426135,POINT (711964.9999842055 729830.9995303039)
60-150-b12-1,150,0,30,8230DB001096,53.30604427,-6.321404967,8624.18454578811,POINT (711873.0000248674 729731.9996334686)
60-150-b12-1,150,0,31,8230DB001097,53.30306175,-6.322152158,8969.384728426841,POINT (711830.9999879575 729398.9995568977)
60-150-b12-1,150,0,32,8230DB001099,53.30127238,-6.323377622000001,9184.95854181358,POINT (711754.0000243001 729197.9997073051)
60-150-b12-1,150,0,33,8230DB006132,53.29563615,-6.323328362000001,9942.172052714941,POINT (711771.9999942558 728570.9995612209)
60-150-b12-1,150,0,34,8230DB004861,53.29663926,-6.3211587279999994,10208.328865338399,POINT (711914.0000210507 728685.9999832771)
60-150-b12-1,150,0,35,8230DB004862,53.29920507,-6.319542749,10563.5204093563,POINT (712015.0000203248 728973.9997683377)
60-150-d12-1,150,0,1,8220DB004495,53.34618678,-6.256970115,0.0,POINT (716057.9999859289 734300.9999838996)
60-150-d12-1,150,0,2,8220DB001279,53.34426049,-6.261704666,440.961967944537,POINT (715748.0000424376 734078.9996004686)
60-150-d12-1,150,0,3,8220DB001934,53.34429056,-6.2656234689999994,702.706036705139,POINT (715487.0000176292 734075.999827096)
60-150-d12-1,150,0,4,8220DB002310,53.342445700000006,-6.269798428,1128.56449356359,POINT (715214.0000297579 733863.9998002058)
60-150-d12-1,150,0,5,8220DB002311,53.33828528,-6.270492467,1693.39407322755,POINT (715179.000009731 733399.9997035309)
60-150-d12-1,150,0,6,8220DB005025,53.33976302,-6.27758106,2199.5074581203103,POINT (714702.9999661603 733553.0004821379)
60-150-d12-1,150,0,7,8220DB004854,53.33814914,-6.279102759,2523.1644781087602,POINT (714605.9999937601 733370.9998354946)
60-150-d12-1,150,0,8,8220DB001438,53.33638298,-6.279414136000001,2750.52566781322,POINT (714590.0000038123 733174.0003500815)
60-150-d12-1,150,0,9,8220DB004855,53.33460177,-6.279305648999999,2993.80129944149,POINT (714601.9999804826 732976.0002551985)
60-150-d12-1,150,0,10,8220DB001439,53.33405842,-6.282766099,3231.1093550194,POINT (714373.0000026353 732910.0004807771)
60-150-d12-1,150,0,11,8220DB001440,53.33199006,-6.2833146520000005,3510.9152606982298,POINT (714342.0000095656 732679.0000689487)
60-150-d12-1,150,0,12,8220DB001386,53.32955262,-6.284448499,3794.1428219973704,POINT (714272.9999970694 732406.0001525246)
60-150-d12-1,150,0,13,8220DB001387,53.32804055,-6.286806239,4022.73623484855,POINT (714120.000009834 732234.0000703849)
60-150-d12-1,150,0,14,8220DB001388,53.32677327,-6.291195789,4352.5391205736205,POINT (713830.9999847328 732085.9997604227)
60-150-d12-1,150,0,15,8220DB001389,53.32608822,-6.295456775,4646.94869922214,POINT (713549.0000167144 732002.9995701695)
60-150-d12-1,150,0,16,8220DB003355,53.32548236,-6.297717802,4810.5265625724,POINT (713399.9999748091 731932.0003243587)
60-150-d12-1,150,0,17,8220DB003356,53.32485163,-6.300760394,5030.98612293623,POINT (713198.9999709828 731856.9998198465)
60-150-d12-1,150,0,18,8220DB001441,53.3248749,-6.303026332999999,5182.264365125229,POINT (713048.0000173989 731855.9998899613)
60-150-d12-1,150,0,19,8220DB001442,53.32516687,-6.307128155,5457.31345165344,POINT (712773.999995874 731881.9995294698)
60-150-d12-1,150,0,20,8220DB007414,53.32515908,-6.311016682999999,5718.16531522095,POINT (712515.0000045542 731875.0000380725)
60-150-d12-1,150,0,21,8220DB001396,53.32490027,-6.314960137000001,5981.79284338956,POINT (712253.0000105412 731840.0001962095)
60-150-d12-1,150,0,22,8220DB002317,53.32341857,-6.318876559,6334.51778539581,POINT (711996.0000124644 731669.0001433823)
60-150-d12-1,150,0,23,8220DB002318,53.32198001,-6.3188430460000005,6541.83185439031,POINT (712001.9999567198 731509.0005026313)
60-150-d12-1,150,0,24,8220DB002319,53.31956475,-6.315200389,6907.31062497735,POINT (712250.9999623739 731246.0004324551)
