longitude,latitude,lineId,timestamp,journeyPatternId,vehicleId,point
-6.28419,53.330241,150,2017-07-03 10:59:00,01501001,33493,POINT (714288.376987527 732483.0016912258)
-6.2679480000000005,53.345326,25,2017-07-03 10:59:00,025A0002,33352,POINT (715329.4352115726 734187.4438665441)
-6.316152,53.343047,25,2017-07-03 10:59:00,025A1002,33356,POINT (712125.9993898426 733857.1103826248)
-6.256517,53.348032999999994,25,2017-07-03 10:59:00,025B1002,33364,POINT (716083.1514884345 734507.1433098904)
-6.382626999999999,53.356275,25,2017-07-03 10:59:00,025B0002,33401,POINT (707666.4894300456 735226.5375839499)
-6.424341,53.357353,25,2017-07-03 10:59:00,025B1002,33358,POINT (704887.1971945297 735284.3821484977)
-6.438611,53.348822,25,2017-07-03 10:59:00,025A0002,33406,POINT (703958.1094408509 734314.3450929744)
-6.3170660000000005,53.315913,150,2017-07-03 10:59:00,01500001,33518,POINT (712136.2856894102 730836.7819816293)
-6.442491,53.347413,25,2017-07-03 10:59:00,025A1002,33399,POINT (703703.2149892255 734151.9363530341)
-6.261702,53.344269999999995,150,2017-07-03 10:59:00,01500001,33495,POINT (715748.1517877284 734080.0619860152)
-6.319255,53.299133,150,2017-07-03 10:59:00,01501001,33519,POINT (712034.3677096436 728966.4325608735)
-6.283835,53.331155,150,2017-07-03 10:59:00,01501001,33493,POINT (714309.5773271152 732585.2598200151)
-6.315136,53.343118000000004,25,2017-07-03 10:59:00,025A1002,33356,POINT (712193.4619704689 733866.6056213314)
-6.268296,53.345299,25,2017-07-03 10:59:00,025A0002,33352,POINT (715306.3383627958 734183.8778698983)
-6.387472,53.356227000000004,25,2017-07-03 10:59:00,025B0002,33401,POINT (707344.1089675513 735213.9016150073)
-6.256533,53.34805,25,2017-07-03 10:59:00,025B1002,33364,POINT (716082.0400958054 734509.0086834219)
-6.4393970000000005,53.349123999999996,25,2017-07-03 10:59:00,025A0002,33406,POINT (703905.0464140832 734346.8018294858)
-6.42499,53.35787,25,2017-07-03 10:59:00,025B1002,33358,POINT (704842.7291517797 735340.9507739047)
-6.31845,53.314702000000004,150,2017-07-03 10:59:00,01500001,33518,POINT (712047.2473351489 730699.8761951885)
-6.261702,53.344269999999995,150,2017-07-03 10:59:00,01500001,33495,POINT (715748.1517877284 734080.0619860152)
-6.441157,53.348188,25,2017-07-03 10:59:00,025A1002,33399,POINT (703790.1474989081 734240.1018494341)
-6.436682,53.360076,25,2017-07-03 10:59:00,00250002,38056,POINT (704059.1157045362 735569.2868179687)
-6.31985,53.297853,150,2017-07-03 10:59:00,01501001,33519,POINT (711998.0588662426 728823.0892090071)
-6.283792,53.331251,150,2017-07-03 10:59:00,01501001,33493,POINT (714312.1845169419 732596.0094319244)
-6.270334,53.345117,25,2017-07-03 10:59:00,025A0002,33352,POINT (715171.1395323334 734160.3397388955)
-6.31142,53.34336999999999,25,2017-07-03 10:59:00,025A1002,33356,POINT (712440.223238684 733900.4878616277)
-6.3920449999999995,53.355844999999995,25,2017-07-03 10:59:00,025B0002,33401,POINT (707040.6699351881 735164.5343352563)
-6.2565669999999995,53.34806700000001,25,2017-07-03 10:59:00,025B1002,33364,POINT (716079.7303498259 734510.8447935447)
-6.439799,53.34891,25,2017-07-03 10:59:00,025A0002,33406,POINT (703878.8034231776 734322.4070688526)
-6.4257,53.358941,25,2017-07-03 10:59:00,025B1002,33358,POINT (704792.8426493317 735459.0688194159)
-6.320025,53.313486,150,2017-07-03 10:59:00,01500001,33518,POINT (711945.4904901912 730562.1165373543)
-6.261702,53.344269999999995,150,2017-07-03 10:59:00,01500001,33495,POINT (715748.1517877284 734080.0619860152)
-6.439585,53.349024,25,2017-07-03 10:59:00,025A1002,33399,POINT (703892.7734127514 734335.4021725215)
-6.438088,53.359961,25,2017-07-03 10:59:00,00250002,38056,POINT (703965.8147494969 735554.443379325)
-6.321339,53.296347,150,2017-07-03 10:59:00,01501001,33519,POINT (711902.7478181415 728653.201309232)
-6.283792,53.331251,150,2017-07-03 11:00:00,01501001,33493,POINT (714312.1845169419 732596.0094319244)
-6.309277,53.343575,25,2017-07-03 11:00:00,025A1002,33356,POINT (712582.3707180808 733926.6725568519)
-6.273166000000001,53.345046999999994,25,2017-07-03 11:00:00,025A0002,33352,POINT (714982.7733796093 734147.9875057574)
-6.39755,53.35572,25,2017-07-03 11:00:00,025B0002,33401,POINT (706674.5447852054 735142.3875075243)
-6.256583,53.348082999999995,25,2017-07-03 11:00:00,025B1002,33364,POINT (716078.6216762098 734512.5989098431)
-6.25711,53.346501,150,2017-07-03 11:00:00,01500001,33475,POINT (716047.8332820319 734335.7321090657)
-6.4257,53.358941,25,2017-07-03 11:00:00,025B1002,33358,POINT (704792.8426493317 735459.0688194159)
-6.441489,53.34800799999999,25,2017-07-03 11:00:00,025A0002,33406,POINT (703768.4811489756 734219.5923400311)
-6.250026999999999,53.339059,25,2017-07-03 11:00:00,025B0002,43124,POINT (716539.6963109386 733519.286676291)
-6.261702,53.344269999999995,150,2017-07-03 11:00:00,01500001,33495,POINT (715748.1517877284 734080.0619860152)
-6.3207,53.312631999999994,150,2017-07-03 11:00:00,01500001,33518,POINT (711902.7492195379 730466.0442036431)
-6.438946,53.349357,25,2017-07-03 11:00:00,025A1002,33399,POINT (703934.5050890069 734373.3820212146)
-6.473521,53.337368000000005,25,2017-07-03 11:00:00,025B1002,33407,POINT (701661.1864391863 732989.6990784472)
-6.438438,53.36002,25,2017-07-03 11:00:00,00250002,38056,POINT (703942.375703622 735560.498155979)
-6.321448999999999,53.296227,150,2017-07-03 11:00:00,01501001,33519,POINT (711895.7292822304 728639.6780516482)
-6.283792,53.331251,150,2017-07-03 11:00:00,01501001,33493,POINT (714312.1845169419 732596.0094319244)
-6.273741,53.34509499999999,25,2017-07-03 11:00:00,025A0002,33352,POINT (714944.3606951565 734152.4021234822)
-6.3059970000000005,53.343945,25,2017-07-03 11:00:00,025A1002,33356,POINT (712799.7854383506 733973.0147484676)
-6.253907,53.350792000000006,53,2017-07-03 11:00:00,00530001,44044,POINT (716249.4054668728 734818.3506116912)
-6.399904,53.356145999999995,25,2017-07-03 11:00:00,025B0002,33401,POINT (706516.7891934545 735186.269887822)
-6.256583,53.3481,25,2017-07-03 11:00:00,025B1002,33364,POINT (716078.5754894386 734514.4902960483)
-6.42577,53.35920600000001,25,2017-07-03 11:00:00,025B1002,33358,POINT (704787.533280788 735488.450221211)
-6.250026999999999,53.339059,25,2017-07-03 11:00:00,025B0002,43124,POINT (716539.6963109386 733519.286676291)
-6.442258,53.347561999999996,25,2017-07-03 11:00:00,025A0002,33406,POINT (703718.3659869041 734168.8526585879)
-6.2617769999999995,53.344264,150,2017-07-03 11:00:00,01500001,33495,POINT (715743.1744492406 734079.2728635767)
-6.3213099999999995,53.311685,150,2017-07-03 11:00:00,01500001,33518,POINT (711864.5803998143 730359.7270362986)
-6.43858,53.348760999999996,25,2017-07-03 11:00:00,025A1002,33399,POINT (703960.3217153992 734307.6033094604)
-6.440597,53.359683,25,2017-07-03 11:00:00,00250002,38056,POINT (703799.4952530788 735519.8619760039)
-6.322213,53.295381000000006,150,2017-07-03 11:00:00,01501001,33519,POINT (711847.0139865255 728544.3574027158)
-6.254064,53.350251,53,2017-07-03 11:00:00,00530001,44044,POINT (716240.4258239368 734757.904414227)
-6.28378,53.331277,150,2017-07-03 11:00:00,01501001,33493,POINT (714312.9142166742 732598.9213523461)
-6.301608,53.34519399999999,25,2017-07-03 11:00:00,025A1002,33356,POINT (713088.7088602487 734118.9192009992)
-6.274898,53.345191,25,2017-07-03 11:00:00,025A0002,33352,POINT (714867.0695148825 734161.2210261826)
-6.401546,53.356538,25,2017-07-03 11:00:00,025B0002,33401,POINT (706406.5145024142 735227.4355299142)
-6.2565669999999995,53.348082999999995,25,2017-07-03 11:00:00,025B1002,33364,POINT (716079.686879534 734512.6249217287)
-6.424773,53.359311,25,2017-07-03 11:00:00,025B1002,33358,POINT (704853.6353190972 735501.5964284124)
-6.443765,53.346006,25,2017-07-03 11:00:00,025A0002,33406,POINT (703621.8065948712 733993.5426214124)
-6.321146,53.31026899999999,150,2017-07-03 11:00:00,01500001,33518,POINT (711879.2109066494 730202.4419001061)
-6.261836,53.34426,150,2017-07-03 11:00:00,01500001,33495,POINT (715739.2569917853 734078.7321967205)
-6.436674,53.347781999999995,25,2017-07-03 11:00:00,025A1002,33399,POINT (704089.6003508298 734201.4556360216)
-6.443565,53.359126,25,2017-07-03 11:00:00,00250002,38056,POINT (703603.2995650214 735453.578370541)
-6.275108,53.345209,25,2017-07-03 11:01:00,025A0002,33352,POINT (714853.039353483 734162.8858688588)
-6.283424,53.33192,150,2017-07-03 11:01:00,01501001,33493,POINT (714334.9047439381 732671.0302522945)
-6.29861,53.345643,25,2017-07-03 11:01:00,025A1002,33356,POINT (713287.1257262822 734173.6267177763)
-6.405709,53.357551,25,2017-07-03 11:01:00,025B0002,33401,POINT (706126.8938346995 735333.9461176959)
-6.256533,53.34806700000001,25,2017-07-03 11:01:00,025B1002,33364,POINT (716081.9939077292 734510.9000696044)
-6.423209,53.359061,25,2017-07-03 11:01:00,025B1002,33358,POINT (704958.3484691989 735476.0793588106)
-6.445339,53.34455500000001,25,2017-07-03 11:01:00,025A0002,33406,POINT (703520.5243911699 733829.8199426857)
-6.2644660000000005,53.344170999999996,150,2017-07-03 11:01:00,01500001,33495,POINT (715564.3890420203 734064.5704872077)
-6.3208720000000005,53.309629,150,2017-07-03 11:01:00,01500001,33518,POINT (711899.1426529987 730131.6656601651)
-6.434275,53.347046,25,2017-07-03 11:01:00,025A1002,33399,POINT (704251.1152640715 734123.0674813817)
-6.325883,53.297286,150,2017-07-03 11:01:00,01501001,33519,POINT (711597.4126527057 728750.5657856959)
-6.44479,53.35907099999999,25,2017-07-03 11:01:00,00250002,38056,POINT (703521.8971284429 735445.6820375696)
-6.282734,53.33266,150,2017-07-03 11:01:00,01501001,33493,POINT (714378.8793006323 732754.4661965417)
-6.275108,53.345209,25,2017-07-03 11:01:00,025A0002,33352,POINT (714853.039353483 734162.8858688588)
-6.2972980000000005,53.345764,25,2017-07-03 11:01:00,025A1002,33356,POINT (713374.1568822542 734189.1714005353)
-6.410475,53.358546999999994,25,2017-07-03 11:01:00,025B0002,33401,POINT (705807.1923393866 735437.6877553025)
-6.256583,53.348032999999994,25,2017-07-03 11:01:00,025B1002,33364,POINT (716078.7575195946 734507.0360092659)
-6.2655199999999995,53.3442,150,2017-07-03 11:01:00,01500001,33495,POINT (715494.1338745182 734066.0916460268)
-6.420468,53.358954000000004,25,2017-07-03 11:01:00,025B1002,33358,POINT (705141.0519910806 735468.2076080955)
-6.320180000000001,53.308392000000005,150,2017-07-03 11:01:00,01500001,33518,POINT (711948.4910751678 729995.1231862021)
-6.433239,53.346461,25,2017-07-03 11:01:00,025A1002,33399,POINT (704321.5188693627 734059.4929589833)
-6.473521,53.337368000000005,25,2017-07-03 11:01:00,025B1002,33407,POINT (701661.1864391863 732989.6990784472)
-6.449922,53.344861,25,2017-07-03 11:01:00,025A0002,33406,POINT (703214.6375096247 733857.2315463661)
-6.446774,53.358879,25,2017-07-03 11:01:00,00250002,38056,POINT (703390.3070804605 735421.4448855632)
-6.283062999999999,53.333649,150,2017-07-03 11:01:00,01501001,33493,POINT (714354.3224224724 732863.9736833583)
-6.275108,53.345209,25,2017-07-03 11:01:00,025A0002,33352,POINT (714853.039353483 734162.8858688588)
-6.295908,53.345873,25,2017-07-03 11:01:00,025A1002,33356,POINT (713466.4125558567 734203.5065264956)
-6.25295,53.349484,53,2017-07-03 11:01:00,00530001,44044,POINT (716316.6750367035 734674.383767771)
-6.415109999999999,53.358858,25,2017-07-03 11:01:00,025B0002,33401,POINT (705497.9166419682 735465.4306833579)
-6.256583,53.34805,25,2017-07-03 11:01:00,025B1002,33364,POINT (716078.7113328538 734508.9273954576)
-6.415679,53.359053,25,2017-07-03 11:01:00,025B1002,33358,POINT (705459.5625339422 735486.2858754194)
-6.451706,53.345218,25,2017-07-03 11:02:00,025A0002,33406,POINT (703094.9937582334 733894.3745684362)
-6.3194989999999995,53.30751600000001,150,2017-07-03 11:02:00,01500001,33518,POINT (711996.1641947757 729898.7282363579)
-6.432230000000001,53.345624,25,2017-07-03 11:02:00,025A1002,33399,POINT (704390.7423075668 733967.8422683039)
-6.2552,53.346667000000004,150,2017-07-03 11:02:00,01500001,33475,POINT (716174.5452819108 734357.306899384)
